gen,nevals,avg,std,min,max
0,100,0.037390724270422074,0.019040286351563622,0.0033135787798499127,0.09455699749055689
1,100,0.04925938381208137,0.016374724338736983,0.018699694020943312,0.06866611472221944
2,100,0.061582640209689885,0.01823404720158767,0.028573566987965933,0.09961360799248647
3,100,0.0674672937749913,0.013174023139931757,0.03629653944044483,0.09157731185430527
4,100,0.07068003149810324,0.012193135043956466,0.047382299339615616,0.09157731185430527
5,100,0.0707883247184827,0.013220781623528605,0.041137825459544246,0.09464549878126431
6,100,0.07399468757061216,0.012201311035606689,0.04832504446317663,0.09464549878126431
7,100,0.08136941821637145,0.014568898258808447,0.05360157340379256,0.11111571233039205
8,100,0.07903248367241247,0.017720025224086926,0.04423792010265206,0.11111571233039205
9,100,0.07905261091425304,0.020037190106139472,0.04234210706737644,0.11111571233039205
10,100,0.07661957292103701,0.016666097061874528,0.04959871556984255,0.10866544582783955
11,100,0.07769028681725755,0.018921908994140604,0.029881639461974547,0.10899997362002807
12,100,0.08196302768278343,0.012998651706475952,0.037441506190227423,0.10899997362002807
13,100,0.07990354652998502,0.014312984214251288,0.050251562761258244,0.10085818756078027
14,100,0.08702658630733279,0.016574043677903914,0.050251562761258244,0.10865545537935012
15,100,0.08328449719263137,0.020121338951249377,0.03417845591204024,0.10807541605420622
16,100,0.09287475596549406,0.011701927459882695,0.06405281088521743,0.10992132898760089
17,100,0.0961890079046474,0.015858691073605997,0.046348976157578735,0.10992132898760089
18,100,0.09708582929809173,0.011935754851217036,0.05975921616367181,0.109723986714984
19,100,0.09710891953808948,0.015208374485377714,0.06185914640244361,0.11329363494707476
20,100,0.09722580593215863,0.01392935797560888,0.06170761095657428,0.11329363494707476
21,100,0.0992261273117332,0.012732313284451756,0.06211168102419273,0.11210169446189497
22,100,0.10102359723071669,0.01452130978468516,0.03582750396726778,0.11210169446189497
23,100,0.10307202714173505,0.01313655688157853,0.04353453184001091,0.11210169446189497
24,100,0.106605104121606,0.004092079099680997,0.09535767285114131,0.11298532733076416
25,100,0.09710234309950694,0.021429372478852207,0.046528319519744975,0.11298532733076416
26,100,0.09962191473778285,0.017599104571116363,0.046528319519744975,0.11298532733076416
27,100,0.106678780163777,0.005304142816333272,0.08102978742631065,0.10807541605420622
28,100,0.10470934211140466,0.015687353099703833,0.05223716804410111,0.122208573017157
29,100,0.10845857970983343,0.00287531212130981,0.10545199317659472,0.122208573017157
30,100,0.10971195631930873,0.004438410227679386,0.10807541605420622,0.122208573017157
31,100,0.11053251119072392,0.005892719007674599,0.10032297391368461,0.122208573017157
32,100,0.11163421526985223,0.008118988124331029,0.08695206926432877,0.122208573017157
33,100,0.11040400189856689,0.008065826722505382,0.08277224377521981,0.122208573017157
34,100,0.10580276925447907,0.019431082632123935,0.0428459619032591,0.122208573017157
35,100,0.10467991477549038,0.01672082633097009,0.059428947975346626,0.122208573017157
36,100,0.11120268078349085,0.006182143225106809,0.10176010625784275,0.122208573017157
37,100,0.11001079782607943,0.009889274036996874,0.07207052620639072,0.122208573017157
38,100,0.11158236395111203,0.005984213319922682,0.10807541605420622,0.122208573017157
39,100,0.10979857083776992,0.011527980837645013,0.06128292846696402,0.122208573017157
40,100,0.11075877909946166,0.009973330233944831,0.08371995842326439,0.122208573017157
41,100,0.10775742850347036,0.016829427214550486,0.060805263551866405,0.122208573017157
42,100,0.10826592543887043,0.01718883009959451,0.061890868531314376,0.122208573017157
43,100,0.10665940490418638,0.019339343441254236,0.0634560860110472,0.13928267937564626
44,100,0.1130831656394217,0.014678722490315098,0.07374023058907599,0.122208573017157
45,100,0.11308602595396769,0.017618094475930046,0.0625312787298567,0.122208573017157
46,100,0.12023278163328696,0.0073363062076492154,0.08694694538335677,0.122208573017157
47,100,0.11918119373867964,0.010292257095553899,0.08178571868902276,0.122208573017157
48,100,0.11970138416970087,0.008881948832232882,0.08178571868902276,0.122208573017157
49,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
50,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
51,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
52,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
53,100,0.12060065321186134,0.007877166140579336,0.08201057788476525,0.122208573017157
54,100,0.11592983009469629,0.021292517723334663,0.04334903481269154,0.122208573017157
55,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
56,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
57,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
58,100,0.122208573017157,0.0,0.122208573017157,0.122208573017157
59,100,0.11888234551961445,0.016295120274787682,0.039052885578593204,0.122208573017157
60,100,0.11225621546995745,0.02799617165883956,0.03502045025705984,0.13882232772213407
61,100,0.11497608586789351,0.02447307797953427,0.04569413706546182,0.139038993501838
62,100,0.1244748759717434,0.009916422084290335,0.09027282351551426,0.139038993501838
63,100,0.12565405237691615,0.006409907960113442,0.11205904706799458,0.139038993501838
64,100,0.1229129424106653,0.023298762365815774,0.02596675831657446,0.139038993501838
65,100,0.12688938953990073,0.013527068668086385,0.07705857688184307,0.139038993501838
66,100,0.13220639249776833,0.007026752330246612,0.122208573017157,0.139038993501838
67,100,0.13378485610078789,0.01293446176663546,0.0757117186360284,0.139038993501838
68,100,0.137945374960558,0.003549947842067722,0.1259104261850981,0.139038993501838
69,100,0.1390129936082735,7.040804461140076e-05,0.13882232772213407,0.139038993501838
70,100,0.139038993501838,0.0,0.139038993501838,0.139038993501838
71,100,0.13790812385226434,0.005540107214110952,0.1107672522624966,0.139038993501838
72,100,0.13790812385226434,0.005540107214110952,0.1107672522624966,0.139038993501838
73,100,0.139038993501838,0.0,0.139038993501838,0.139038993501838
