gen,nevals,avg,std,min,max
0,100,0.03377546240558025,0.016971922746804476,0.0044086436195659605,0.09436431826941524
1,100,0.05383614170343774,0.017224199509465354,0.024113928961837623,0.0845009942046924
2,100,0.060712491237290854,0.011559221754641141,0.04032579937091852,0.07656463003862805
3,100,0.06813040613952447,0.014948388472740189,0.03300171418358952,0.09402396228718328
4,100,0.07993871945630254,0.006252128453057541,0.07118391172623573,0.09402396228718328
5,100,0.07440557879323675,0.014119592923145775,0.044342804553998645,0.09303671912266635
6,100,0.07715929797016716,0.011205024801993889,0.044405443274990686,0.09442147376513374
7,100,0.07683856365810508,0.014840500800116944,0.044405443274990686,0.09442147376513374
8,100,0.07556033109292179,0.015269548527283959,0.038227277037017136,0.10132237639676327
9,100,0.08776297797424591,0.009066927501730762,0.06155503591989688,0.10476870633681701
10,100,0.08667426542903735,0.01016165503738633,0.05956811138802232,0.10476870633681701
11,100,0.09363302436585831,0.00878044971505261,0.08366672744816701,0.11409295062888215
12,100,0.09094342815018566,0.014273673257534654,0.05956811138802232,0.11409295062888215
13,100,0.09027635814589262,0.017553088491137788,0.059033450778310584,0.1299782582234355
14,100,0.09195534679970845,0.013970310748074552,0.060806328818941,0.11409295062888215
15,100,0.09462568607957059,0.017350374798553683,0.03142269089300819,0.12350795220899458
16,100,0.08958056850396633,0.021370004941807276,0.03142269089300819,0.104036155389308
17,100,0.09791973339950433,0.012889965514113347,0.06081503301420493,0.11020363071264191
18,100,0.10101494858894017,0.007360474570923799,0.07345743604505234,0.11020363071264191
19,100,0.10054613050354488,0.009615134835741302,0.059083191111395324,0.11020363071264191
20,100,0.09792080756321658,0.016177508226804645,0.049782781457344806,0.11020363071264191
21,100,0.09923350561376719,0.011328745589927554,0.06216432622489895,0.104036155389308
22,100,0.09943851966153078,0.010418479328596153,0.06587158622981407,0.104036155389308
23,100,0.1034723165869036,0.0027622347261453983,0.0899401853291983,0.104036155389308
24,100,0.10420290150795244,0.0005654636000259996,0.104036155389308,0.10612048187236359
25,100,0.09811882393453125,0.016706984040512282,0.0439297493349835,0.10612048187236359
26,100,0.09975856009685939,0.01511977301894591,0.043205398511710104,0.10612048187236359
27,100,0.10238899860085404,0.012446207908016357,0.04170430124326714,0.10779592082651385
28,100,0.10508379225017767,0.003822758235517764,0.08905264627811181,0.11259298920599098
29,100,0.10598993772065425,0.005447350033660467,0.08476708019731471,0.11259298920599098
30,100,0.10647411181980079,0.006265428224326034,0.08029331180006877,0.11259298920599098
31,100,0.10625188595293515,0.011323433049701894,0.06901494488870283,0.11259298920599098
32,100,0.10734889473960585,0.016328804106682384,0.028566756986257182,0.11259298920599098
33,100,0.1110674075118636,0.0028208199629564477,0.10444519125593647,0.11259298920599098
34,100,0.10610960458417759,0.02061270143366662,0.03599659217609915,0.11259298920599098
35,100,0.11259298920599098,0.0,0.11259298920599098,0.11259298920599098
36,100,0.10922222097970487,0.01651332439117457,0.028323783548838105,0.11259298920599098
37,100,0.11169155370917683,0.004416114006453937,0.09005710178563672,0.11259298920599098
38,100,0.11201445556911986,0.004602904027964116,0.09005710178563672,0.11765694322604166
39,100,0.11009231050876929,0.011417806783972143,0.05446848524862589,0.11409728544525392
40,100,0.10759785595374396,0.017223365986980883,0.0443348656179181,0.11409728544525392
41,100,0.11265316105556149,0.00029478065665455145,0.11259298920599098,0.11409728544525392
42,100,0.11259298920599098,0.0,0.11259298920599098,0.11259298920599098
43,100,0.11259298920599098,0.0,0.11259298920599098,0.11259298920599098
44,100,0.10871487090569378,0.013490598026111215,0.05348723645045393,0.11259298920599098
45,100,0.1109415007876548,0.00809060788207936,0.07130577874758655,0.11259298920599098
46,100,0.11080126032329819,0.006365968728833431,0.08348147368481627,0.11259298920599098
47,100,0.10630660279560945,0.017594720359817052,0.049178899586309215,0.11259298920599098
