gen,nevals,avg,std,min,max
0,100,0.03474130711856813,0.01918327797527895,0.008939985300131311,0.1112597841691316
1,100,0.0502337012765278,0.015459819655080724,0.023453922917628003,0.08362619455906851
2,100,0.056877851828156765,0.012168473964880211,0.031677653991959286,0.09452441122250871
3,100,0.06503008355285057,0.013351537216022481,0.04497411398331992,0.09452441122250871
4,100,0.07501864065511503,0.01620045917660519,0.035521789575324335,0.09828476596317146
5,100,0.07971001241838431,0.014900338734405183,0.03442090050440695,0.09828476596317146
6,100,0.07565946761034115,0.015185314890572784,0.036110075606075626,0.09828476596317146
7,100,0.0760100301131386,0.011596146182732353,0.05409054168214048,0.09828476596317146
8,100,0.07640002072379123,0.016731384059479153,0.03401213308357241,0.09828476596317146
9,100,0.0779914510899944,0.01697632789083795,0.03401213308357241,0.09828476596317146
10,100,0.08387183878641208,0.01531807351393686,0.04439844013890645,0.09828476596317146
11,100,0.08537828475879315,0.01459784609047439,0.04878083193758667,0.09914303479619255
12,100,0.0862200470284573,0.014762134573082467,0.05157329253453845,0.09914303479619255
13,100,0.0935639550804111,0.015204886410987606,0.044581990995657135,0.10987281460441423
14,100,0.09356001854179377,0.013250530816839823,0.055666921514696606,0.10628043660575769
15,100,0.09535365711174563,0.011457614095204927,0.055666921514696606,0.10553817747837742
16,100,0.09031331495957647,0.01688419924467531,0.034172119724906275,0.10553817747837742
17,100,0.09922237883608034,0.005763499043476643,0.08059188334363954,0.10553817747837742
18,100,0.09432760341905899,0.015235802280878516,0.04881945293465094,0.10553817747837742
19,100,0.09614505273509294,0.016044579946010384,0.06079020139618288,0.11919520522739574
20,100,0.09401993908981257,0.021904023789278814,0.038964128903049275,0.11919520522739574
21,100,0.09765587724703333,0.016816768569817227,0.05402173909327666,0.11919520522739574
22,100,0.10083740613236428,0.015269569618860007,0.047653795965950235,0.11069608781902963
23,100,0.10057537256606826,0.017358553436994485,0.05078862412049051,0.11069608781902963
24,100,0.10726942060139487,0.011472724818711382,0.05894257069412694,0.11069608781902963
25,100,0.1079242934622873,0.013097168127357898,0.044862253966810366,0.11926001942743211
26,100,0.10750928583292423,0.01769679984986846,0.021975233000818956,0.11926001942743211
27,100,0.11172375961203793,0.002782948371253502,0.11069608781902963,0.11926001942743211
28,100,0.10792656147299588,0.014475782413860503,0.04446154782546449,0.11926001942743211
29,100,0.1116492884477639,0.010120164892865192,0.06601465067016599,0.11926001942743211
30,100,0.11446421772672673,0.004251023855474412,0.11069608781902963,0.11926001942743211
31,100,0.11467145819311016,0.01579940517133631,0.038801715002993196,0.11926001942743211
32,100,0.11640241682629344,0.012365438549117853,0.05638388600736792,0.11926001942743211
33,100,0.11260583553860065,0.01816432941034975,0.05638388600736792,0.11926001942743211
34,100,0.11102708371536041,0.020924861136746707,0.0370097300692702,0.11926001942743211
35,100,0.10951523995172943,0.021382797875975478,0.040218596844018004,0.11926001942743211
36,100,0.11440455352495879,0.017811425206017903,0.03455418513802289,0.11926001942743211
37,100,0.11379373918718333,0.018966110961227307,0.0367492921423017,0.11926001942743211
38,100,0.11636429252889251,0.01418610667174821,0.04686684696394202,0.11926001942743211
39,100,0.11799658692297042,0.006189529920755536,0.0876742068158899,0.11926001942743211
40,100,0.11644468197336791,0.013792280432407147,0.04887658307582701,0.11926001942743211
41,100,0.11699787205703188,0.011082213560918569,0.06270633516742655,0.11926001942743211
42,100,0.11926001942743211,0.0,0.11926001942743211,0.11926001942743211
43,100,0.11602330659827709,0.015856589750699913,0.038342198698556464,0.11926001942743211
44,100,0.11821716680749686,0.005108913591531951,0.0931887039290507,0.11926001942743211
45,100,0.11926001942743211,0.0,0.11926001942743211,0.11926001942743211
46,100,0.11573287563533072,0.01727940508014747,0.031081424624897193,0.11926001942743211
47,100,0.11926001942743211,0.0,0.11926001942743211,0.11926001942743211
48,100,0.11757056252276359,0.00972580478063353,0.070355292649658,0.1259283235884927
49,100,0.11940763592926232,0.002588237293358559,0.11005359756416548,0.1259283235884927
50,100,0.11413941651150346,0.0186086062171036,0.0406697195380384,0.125488549675393
51,100,0.10981479821477193,0.0241913314998903,0.024121594644869827,0.11926001942743211
52,100,0.11587221852682808,0.01586465487491083,0.044997984778749466,0.12621883181742757
53,100,0.11608296211380428,0.013384637504667988,0.061169130884475044,0.12621883181742757
54,100,0.11161478351011932,0.021596110676559137,0.04795730487526289,0.12621883181742757
55,100,0.11572629938390172,0.01728356688795886,0.04047448431223599,0.12621883181742757
56,100,0.11887136716253228,0.009127143414813407,0.07602611685751429,0.12621883181742757
57,100,0.11669264764028998,0.016364725199770797,0.05843571362706684,0.12621883181742757
58,100,0.11784991805948891,0.014316741911792398,0.06524594114823706,0.12621883181742757
59,100,0.12236156920293281,0.008296801844125496,0.08365585193952667,0.12621883181742757
60,100,0.1222015039267705,0.01349838583980548,0.0579379506775267,0.12621883181742757
61,100,0.11610046654716438,0.023348121089895032,0.04926541716337448,0.12621883181742757
62,100,0.1222436461171175,0.015168977825835078,0.04840846618514488,0.12621883181742757
63,100,0.11964977215070587,0.021195459380527536,0.039273620633770615,0.12621883181742757
64,100,0.11550338895221043,0.023892053405932433,0.05425734106187114,0.12621883181742757
65,100,0.110351990496045,0.03080153215204749,0.03595434765589005,0.12621883181742757
66,100,0.12249624731801123,0.027369333463079293,0.0575652620832294,0.21679104087652945
67,100,0.12744187167077414,0.03364596205702031,0.03366340493440733,0.21679104087652945
68,100,0.13196255599193366,0.05689002664246196,0.035542053587560844,0.21679104087652945
