gen,nevals,avg,std,min,max
0,100,0.03611326744135992,0.019916323307345978,0.013140819203324008,0.13854566895211856
1,100,0.05124811691849034,0.02016295167643601,0.02243722503807813,0.1013776270599301
2,100,0.056784858568823954,0.019676166671749457,0.026314570054479958,0.09882277636674859
3,100,0.06565307598291559,0.014611961946469661,0.040430195525521254,0.1051438432216976
4,100,0.06767451943920945,0.019983511879443534,0.031571529266524914,0.1051438432216976
5,100,0.07401567216905136,0.01534368723819397,0.05070431530145947,0.1051438432216976
6,100,0.0759094942474691,0.01759412212599882,0.03180964025040644,0.10081296805080543
7,100,0.07964086890098479,0.01791818142169532,0.040082192224045354,0.10180252011424545
8,100,0.0827787518466122,0.017800117520473866,0.03467825440187847,0.10171479202932598
9,100,0.08674186712335415,0.01586926689140107,0.045803494385453884,0.10222397785488152
10,100,0.08876628386058134,0.015095718990799553,0.0590758041965449,0.10222397785488152
11,100,0.09279813448405404,0.012529480668813611,0.05569564679747256,0.1111979908685576
12,100,0.09373297661877837,0.018251534767409722,0.037906589310882956,0.1111979908685576
13,100,0.09418096232695845,0.018954737740768415,0.03819294176965823,0.1111979908685576
14,100,0.09339747870118952,0.01877608810279368,0.046161758516677295,0.1111979908685576
15,100,0.09681078873251976,0.013985646116119323,0.05005096639974438,0.10245266992328592
16,100,0.09862702541895238,0.010135083146384241,0.06473321749398289,0.10293116764443942
17,100,0.10242499911628858,0.0002418539609498794,0.1017631930510534,0.10293116764443942
18,100,0.10247163108267744,0.000271087403132147,0.10158928345091102,0.10293684269909716
19,100,0.10275593112947445,0.0004232701464257716,0.1016944720243799,0.10347665096559755
20,100,0.1007595470579081,0.010302254638402614,0.0503779926694473,0.10347665096559755
21,100,0.10074174333034587,0.011625574350650491,0.04384795922117904,0.10347665096559755
22,100,0.10068281244002573,0.012696786003397919,0.038515148630782176,0.10347665096559755
23,100,0.09949339249997437,0.013354165090848934,0.046889294107555275,0.10347665096559755
24,100,0.10010530054258375,0.011499065244918586,0.05697664716084649,0.10347665096559755
25,100,0.1013426121227084,0.01045461251271573,0.0501256798933687,0.10347665096559755
26,100,0.09674806524189154,0.018942138860186503,0.027895371828407376,0.10347665096559755
27,100,0.10347665096559755,0.0,0.10347665096559755,0.10347665096559755
28,100,0.0962407761378606,0.017979910778182756,0.035296938845468875,0.10347665096559755
29,100,0.10347665096559755,0.0,0.10347665096559755,0.10347665096559755
30,100,0.10239585948107496,0.007956544577205342,0.06426507225615233,0.10957254676378787
31,100,0.09579170589996687,0.02081658947132466,0.03837142354895376,0.10347665096559755
32,100,0.10347665096559755,0.0,0.10347665096559755,0.10347665096559755
33,100,0.10347665096559755,0.0,0.10347665096559755,0.10347665096559755
34,100,0.10347665096559755,0.0,0.10347665096559755,0.10347665096559755
35,100,0.10114887044602447,0.011403749012289532,0.04528213797627045,0.10347665096559755
36,100,0.10114887044602447,0.011403749012289532,0.04528213797627045,0.10347665096559755
37,100,0.10345274240891317,0.0003458736744107116,0.10198901848576605,0.1043665695283199
38,100,0.1011215689310697,0.011501149113673252,0.044794435500398924,0.1043665695283199
39,100,0.10358344119312422,0.0002891893032221905,0.10347665096559755,0.1043665695283199
40,100,0.10357503472396459,0.0002951642931931491,0.10326648923660656,0.1043665695283199
41,100,0.10357503472396459,0.0002951642931931491,0.10326648923660656,0.1043665695283199
42,100,0.10217548090924945,0.006804593258278328,0.06887674436744032,0.1043665695283199
43,100,0.10216384818668905,0.006798973946971743,0.06887674436744032,0.1043665695283199
44,100,0.09689870943556218,0.02259878739609337,0.016372327726075254,0.1043665695283199
45,100,0.09741686603251003,0.020542404583937163,0.02435259882879103,0.10347665096559755
46,100,0.09955690636432094,0.013391769993109497,0.04872557378798791,0.10347665096559755
47,100,0.10146784480182472,0.008191269664087071,0.062284393030783,0.10347665096559755
48,100,0.10220051989066117,0.006132774712609076,0.07216147831195273,0.10347665096559755
49,100,0.10347665096559755,0.0,0.10347665096559755,0.10347665096559755
50,100,0.10080371852371404,0.013094641199092035,0.03665333991851015,0.10347665096559755
51,100,0.0965243415217178,0.018952605478256102,0.03665333991851015,0.10347665096559755
52,100,0.10320358337965958,0.0013377525016832648,0.09664996131714819,0.10347665096559755
53,100,0.09898004600615731,0.015309728896285802,0.04244201296421995,0.10347665096559755
